additional_rights_component_ids,alignment_mode,asset_ids,code_data_refs,concept_ids,content_hash_guard,design_questions,edition_id,id,locale,order,parent_id,prerequisite_concept_ids,provenance,recorded_at,required_parameters,resource_id,responsible_workflow,rights_component_id,schema_name,schema_version,source_book_label,source_bytes,source_content_sha256,source_environment,source_file_sha256,source_line,source_line_end,source_local_id,source_locale,source_path,source_target_relationship,starred,status,supersedes_id,target_block_alignment_overrides,target_content_sha256,target_environment,target_hash_guard,target_line,target_line_end,target_local_id,target_locale,target_only_blocks,target_path,title_source,title_target,topology_order_path,topology_path,translation_state,unit_type
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.general-007,mul,7,unit.r017.book1.ch01.text.subsection-003,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,0732b54d8ed72f8adf9a2c79b6da42554f9ad5d69149cc86cf07e167f2ac2e24,general,,348,358,eq:convex-programming,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,1a4fc78cc7e98a316350342f22c2e5101e03b9c3880a1c50b7be78377454b9af,general,pass,352,362,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Convex Programming,Pemrograman Konveks,"[1,3,1,1,8,3,7]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-008"",""unit.r017.book1.ch01.text.subsection-003"",""unit.r017.book1.ch01.text.general-007""]",translated,general
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.general-008,mul,8,unit.r017.book1.ch01.text.subsection-004,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,89a495d8d3a1b9e37cf263839a07fc0719d6f640fa728a7a8fd38eb25afe6337,general,,373,384,eq:BIP-NLP,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,075d54bcc193865fd42472bd6539924d137a7afdd4ee90e33a1f0e5caa56853b,general,pass,377,388,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Binary Integer programming (BIP) as a NLP,Pemrograman Bilangan Bulat Biner (BIP) sebagai NLP,"[1,3,1,1,8,4,8]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-008"",""unit.r017.book1.ch01.text.subsection-004"",""unit.r017.book1.ch01.text.general-008""]",translated,general
,,,,"[""concept.mixed-integer-nonlinear-programming""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.general-009,mul,9,unit.r017.book1.ch01.text.section-009,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,4d284ea54b175a13f78a919ca060f2ecb7dc88546e459a5b330350f0e096b18f,general,,482,494,eq:minlp,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,56dd50bcf195acb9548d655fec499077645e69e611924a383f69cded6ab3c4d6,general,pass,487,499,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,MINLP,MINLP,"[1,3,1,1,9,9]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-009"",""unit.r017.book1.ch01.text.general-009""]",translated,general
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.general-010,mul,10,unit.r017.book1.ch01.text.subsection-006,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,fe977217e0fb83a7b85d6f7132daa4751581dfd4ec675ffb5a2e9aeda905df17,general,,500,510,eq:convex-minlp,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,bd3953aac7a1a3b381c1520a09989c64f79a69c828854f45e0edeb614f04e0a4,general,pass,506,516,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Convex MINLP,MINLP Konveks,"[1,3,1,1,9,6,10]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-009"",""unit.r017.book1.ch01.text.subsection-006"",""unit.r017.book1.ch01.text.general-010""]",translated,general
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.general-011,mul,11,unit.r017.book1.ch01.text.subsection-007,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,54d94c1be4bf465c634f36d9924f00a9242919a3619472af20f8bb64b2ed933b,general,,515,526,eq:nonconvex-minlp,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,5426ec48fc97752229f3da6df7ff3b2f743f724d14473f0b97cb03fc08b403ea,general,pass,521,532,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Non-Convex MINLP,MINLP Nonkonveks,"[1,3,1,1,9,7,11]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-009"",""unit.r017.book1.ch01.text.subsection-007"",""unit.r017.book1.ch01.text.general-011""]",translated,general
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.outcome-001,mul,1,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,1ba74ee4b42690236c859c597fa100a0b3d42f7988d078bd1856747d107aaf83,outcome,,12,20,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,b0b4ad0db755a1784e7e53ba35bbfed80b00902c6494720b4bcade99c3a0eef6,outcome,pass,12,20,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,,"[1,3,1,1,1]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.outcome-001""]",translated,outcome
,,,,"[""concept.constraint"",""concept.decision-variable"",""concept.model-development-cycle"",""concept.objective-function"",""concept.optimization-model""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-001,mul,1,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,ac08886304e649a79a9d9f6c759716552e4ddf1326c503290ec24ec2959f19bb,section,,21,21,sec:shirt-warmup,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,a5fb3fddccf162cfb35d6420226c098134b68052e3c06384dedbe185cb6a59c5,section,pass,21,21,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Warm-Up Scenario,Skenario Pemanasan,"[1,3,1,1,1]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-001""]",translated,section
,,,,"[""concept.operations-research""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-002,mul,2,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,5a920ccf397c0fd9b5054515d2b723bb8f39a7b8465a66c86bdbeb9a9e20db81,section,,114,114,sec:why-OR,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,210734aebda41b1e53eb22b57d13bc343a2a3c3f96d25847644ab7b9a35968bd,section,pass,114,114,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Why Study Operations Research?,Mengapa Mempelajari Riset Operasi?,"[1,3,1,1,2]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-002""]",translated,section
,,,,"[""concept.mathematical-programming"",""concept.optimization-model""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-003,mul,3,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,bc91d085a3c03e8ad4c16fa25bf73c52e18ba39ecdee49df3028f0f172c26e86,section,,137,137,sec:what-is-MP,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,07c09b83be2942233b9ba222576d57587363e50042c6cfb9487f17798511685f,section,pass,137,137,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,What is Mathematical Programming?,Apa Itu Pemrograman Matematis?,"[1,3,1,1,3]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-003""]",translated,section
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-004,mul,4,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,a841cde02432f320ab0e41cc86b9fa808f296d79492b87de162e443de9e21671,section,,171,171,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,106a0f4d4b223c5011b4a45456bf5a14578fc73a3682cefb489be07566bb7f28,section,pass,171,171,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Applications,Penerapan,"[1,3,1,1,4]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-004""]",translated,section
,,,,"[""concept.computational-complexity"",""concept.linear-programming"",""concept.mixed-integer-linear-programming"",""concept.mixed-integer-nonlinear-programming"",""concept.nonlinear-programming""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-005,mul,5,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,3ba6bcf45f5dad1ff3fddb393f0da36f42d2514dbfe897eda55536a9fb98d748,section,,224,224,sec:types-of-optimization,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,5ef32b2947331d96109d01889b536e9be40c66152e9aa0b19da0685eb8f7c73c,section,pass,225,225,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Types of Optimization Problems,Jenis-Jenis Masalah Optimisasi,"[1,3,1,1,5]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-005""]",translated,section
,,,,"[""concept.feasible-region"",""concept.linear-programming""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-006,mul,6,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,b3132f0fc27f7e155e63a58a5ea1e3ca7433a1c06b71ad2f58d4a18fda59b415,section,,241,241,sec:intro-LP,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,08ea9d2b4b8c02f25a54d0206648c497d0bec3163e187e7ae68c25ac54ac1aac,section,pass,243,243,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Linear Programming (LP),Pemrograman Linear (LP),"[1,3,1,1,6]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-006""]",translated,section
,,,,"[""concept.binary-integer-programming"",""concept.computational-complexity"",""concept.integer-linear-programming"",""concept.mixed-integer-linear-programming""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-007,mul,7,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,d8eb105187b354b3594c0db74767a1f32325a0959ad70615ba548f3e2c4f4d29,section,,278,278,sec:intro-MILP,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,8af3878e53a689da5dca4a9d7e8e78438e2e4d52912ec4cbefea4d95c5eb5fc3,section,pass,280,280,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Mixed-Integer Linear Programming (MILP),Pemrograman Linear Bilangan Bulat Campuran (MILP),"[1,3,1,1,7]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-007""]",translated,section
,,,,"[""concept.convex-optimization"",""concept.machine-learning-optimization"",""concept.nonconvex-optimization"",""concept.nonlinear-programming""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-008,mul,8,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,10489466dc0f7dbec7b034540d2738b4bf5ce982e27a961b00471102c575c6bf,section,,331,331,sec:intro-NLP,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,26124c0c86653c33d71c1303ff95464c45a9791a3cab3d4d4e9115288b73b020,section,pass,335,335,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Non-Linear Programming (NLP),Pemrograman Nonlinier (NLP),"[1,3,1,1,8]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-008""]",translated,section
,,,,"[""concept.computational-complexity"",""concept.mixed-integer-nonlinear-programming""]",,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-009,mul,9,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,92c6e647005666faebf312cea0fb14ccfc7c1d8179b60238f3fb12718482ea6b,section,,479,479,sec:intro-MINLP,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,a3c94a70c511f04ad92356c359dff2fc5fddf59e8cc006f3bc2e69b3ee3da1fe,section,pass,484,484,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Mixed-Integer Non-Linear Programming (MINLP),Pemrograman Nonlinier Bilangan Bulat Campuran (MINLP),"[1,3,1,1,9]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-009""]",translated,section
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-010,mul,10,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,edf732ffb9a09ff022f2ad837085e1e0ea5a269f0910bb92d133721ce79a737e,section,,538,538,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,e6fb1b9458ca5bf996131db72a11ea0f530db8170491c7cd3660e9ed1a34a70e,section,pass,544,544,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Optimization Under Uncertainty,Optimisasi di Bawah Ketidakpastian,"[1,3,1,1,10]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-010""]",translated,section
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.section-011,mul,11,unit.r017.book1.ch01.text.chapter-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,1e4ccc9ccba9038d35b6d9ebed7b22602bc3cbe77fc62260abb1d7f124da6cb9,section,,566,566,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,a1bb209727b5a69d4a435af27d693b0c1da6dd215c84f60cba8fe61f1696d1de,section,pass,573,573,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Exercises,Latihan,"[1,3,1,1,11]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-011""]",translated,section
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.solution-001,mul,1,unit.r017.book1.ch01.text.subsubsection-003,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,9869caba29a6f3c4ec1fd92c3ff37a40b32d2f4f447858dd7e22f6ef5eda64f8,solution,,659,661,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,251885549a76fbf3cd8b75a68b119d1b6d0cbdd8f2714ac5a3dab601ba806847,solution,pass,666,668,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,solution for ex:classify-projects,solution for ex:classify-projects,"[1,3,1,1,11,3,1]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-011"",""unit.r017.book1.ch01.text.subsubsection-003"",""unit.r017.book1.ch01.text.solution-001""]",translated,solution
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.solution-002,mul,2,unit.r017.book1.ch01.text.subsubsection-003,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,9b8c8a238694961fd4a671dedc2afa901f76caab8f262a96fe43f1872b56d0d8,solution,,663,669,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,f2b364e51a1ff16b84044a0653411287b32067b3bbcc59103ea1fa8f6bb46ac9,solution,pass,670,676,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,solution for ex:shirt-friday-balance,solution for ex:shirt-friday-balance,"[1,3,1,1,11,3,2]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-011"",""unit.r017.book1.ch01.text.subsubsection-003"",""unit.r017.book1.ch01.text.solution-002""]",translated,solution
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.solution-003,mul,3,unit.r017.book1.ch01.text.subsubsection-003,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,7fbfcf5150c38d5815ca575526408c74cc1e61d2028c12fc62f38b8017bffe3d,solution,,671,673,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,680b65d0edc8f37f5366541cce1a72028f3ddda81e0c71753aca25f1568d4703,solution,pass,678,680,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,solution for ex:programming-term,solution for ex:programming-term,"[1,3,1,1,11,3,3]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-011"",""unit.r017.book1.ch01.text.subsubsection-003"",""unit.r017.book1.ch01.text.solution-003""]",translated,solution
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.solution-004,mul,4,unit.r017.book1.ch01.text.subsubsection-003,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,0da3a477607f59eff6504e74602552a2b5ffb8cfea4558a7ab998c06d1d141a6,solution,,675,685,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,53e6d54616aa8d97e2611013e2198a51dee19c4b000b4ebc02adc675e772f047,solution,pass,682,692,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,solution for ex:shirt-full-lp,solution for ex:shirt-full-lp,"[1,3,1,1,11,3,4]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-011"",""unit.r017.book1.ch01.text.subsubsection-003"",""unit.r017.book1.ch01.text.solution-004""]",translated,solution
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.subsection-001,mul,1,unit.r017.book1.ch01.text.section-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,71f00ccac8582fc1fa47c27c21c1335e95516d0b9f3a172362b50640502720e6,subsection,,89,89,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,true,translated,,,9c776d767ef89fad4f6ebb6631aee5345f90a013b3b3127ee9a8e292da5b22d9,subsection,pass,89,89,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Model Development Cycle,Siklus Pengembangan Model,"[1,3,1,1,1,1]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-001"",""unit.r017.book1.ch01.text.subsection-001""]",translated,subsection
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.subsection-002,mul,2,unit.r017.book1.ch01.text.section-001,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,4c58e86cc0d3ee619b75b72b85530ad210b6fd509104619969127dc4307d0908,subsection,,101,101,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,true,translated,,,16b646179109f71fe4385d68ae999bce050a9306057c5e2ac13466ba5fcd1a15,subsection,pass,101,101,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Further Extensions,Pengembangan Lebih Lanjut,"[1,3,1,1,1,2]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-001"",""unit.r017.book1.ch01.text.subsection-002""]",translated,subsection
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.subsection-003,mul,3,unit.r017.book1.ch01.text.section-008,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,9e530d67339d865a59eab90bbd0c274029a499bb77d6e00d9fc6ba18f1b1da4f,subsection,,346,346,eq:convex-programming,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,ce640194cc7d94342bdacaa5e0f6b6ca5ffdce20364b63199eea973ef61207af,subsection,pass,350,350,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Convex Programming,Pemrograman Konveks,"[1,3,1,1,8,3]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-008"",""unit.r017.book1.ch01.text.subsection-003""]",translated,subsection
,,,,[],,,edition.r017.upstream.1745df89,unit.r017.book1.ch01.text.subsection-004,mul,4,unit.r017.book1.ch01.text.section-008,,,2026-08-23T00:00:00+02:00,,resource.r017.open-optimization-book,codex-r017-o018-id-production,rights.r017.content,interlanguage.unit,0.1.0,,,3bae45d94de33a6bccca9238c04b817daf455e8d8479f92d062380522b25c964,subsection,,362,362,,en,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,,false,translated,,,ef3ae15fbea5d94e43fc482214fc2eb102dae42bf675f71aeb8eed733a2c8e16,subsection,pass,366,366,,id-ID,,Intro-Math-Programming/baseText/book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,Non-Convex Non-linear Programming,Pemrograman Nonlinier Nonkonveks,"[1,3,1,1,8,4]","[""unit.r017.book1"",""unit.r017.book1.ch01"",""unit.r017.book1.ch01.text"",""unit.r017.book1.ch01.text.chapter-001"",""unit.r017.book1.ch01.text.section-008"",""unit.r017.book1.ch01.text.subsection-004""]",translated,subsection
